"","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","VCL1","VCL2","VCL3","VCL4","VCL5","VCL6","VCL7","VCL8","VCL9","VCL10","VCL11","VCL12","VCL13","VCL14","VCL15","VCL16","testelapse","T1"
"70749",1,4,1,1,2,1,2,1,2,2,4,2,4,2,2,5,3,2,4,1,5,5,7,6,6,6,7,7,7,6,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,"165",46
"70750",2,1,2,1,2,4,5,2,3,4,4,3,1,2,2,5,1,3,3,1,5,6,4,6,5,5,6,3,3,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"351",51
"70751",5,5,3,3,4,3,4,2,2,3,3,4,5,4,5,4,1,3,5,1,6,2,6,3,7,3,4,2,3,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"97",69
"70752",4,1,2,5,2,1,1,1,1,3,5,4,3,5,3,1,1,1,1,1,3,4,7,2,5,1,7,7,6,6,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,"943",46
"70753",1,4,2,4,4,1,1,2,1,1,4,4,1,5,2,2,4,1,4,4,6,5,6,6,7,6,6,7,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"292",52
"70754",2,2,2,3,1,5,5,4,1,5,4,1,5,5,3,2,1,5,5,1,7,4,6,6,6,7,7,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"179",62
"70755",3,3,1,3,2,3,4,1,5,1,1,3,1,1,3,1,3,2,5,1,7,2,5,1,5,3,5,5,7,5,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,"136",47
"70756",2,4,4,5,4,4,4,2,3,3,5,5,4,4,5,5,4,2,5,2,1,4,7,5,5,2,1,6,6,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,"120",76
"70757",3,4,2,2,3,3,4,2,1,2,4,3,2,2,3,2,3,4,4,1,3,6,5,5,6,3,6,3,6,6,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,"163",54
"70758",4,1,3,4,4,2,5,2,1,1,4,3,3,4,2,1,3,4,4,4,7,4,5,6,7,5,7,4,6,5,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"239",59
"70759",3,1,1,2,2,2,3,2,1,3,4,1,3,4,4,3,4,5,3,2,6,5,4,2,6,3,7,1,4,6,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"355",53
"70760",2,4,1,3,5,1,2,4,1,1,4,2,2,5,1,4,5,3,5,1,3,3,6,3,7,3,6,2,5,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"161",56
"70761",1,2,4,1,1,1,4,1,1,2,2,1,4,2,5,4,1,1,1,1,2,7,7,6,6,2,7,6,7,5,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,"189",40
"70762",3,1,3,3,5,1,3,1,1,2,5,1,2,2,1,3,3,4,5,1,6,2,7,1,6,3,5,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"176",50
"70763",3,2,5,3,3,3,3,3,1,1,4,2,2,3,3,1,5,2,1,1,5,4,6,1,7,7,5,4,3,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"214",51
"70764",2,4,5,3,4,4,5,4,4,4,5,3,4,4,5,4,4,4,3,1,4,3,4,3,5,5,6,2,6,6,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,"134",76
"70765",2,5,4,3,4,4,5,5,2,4,4,2,4,2,4,2,4,5,5,1,5,1,7,3,7,7,5,1,3,6,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,"185",71
"70766",1,1,1,5,5,2,1,2,1,2,5,2,4,3,2,4,4,1,5,4,1,4,6,1,3,1,6,5,2,6,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,"100",55
"70767",4,5,5,4,5,5,5,1,4,1,5,5,5,5,5,5,5,3,5,1,6,1,3,3,7,2,3,3,1,6,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,"163",83
"70768",1,1,5,5,1,5,5,1,5,5,5,1,1,5,1,5,5,1,1,1,1,7,1,7,1,7,1,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10",60
"70769",1,1,2,2,1,2,2,1,1,2,4,2,1,5,1,4,3,2,5,1,6,6,5,6,6,6,6,7,7,6,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,"305",43
"70770",5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,3,5,6,7,6,4,2,7,6,6,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,"183",97
"70771",1,2,2,2,4,2,2,1,1,2,4,4,2,3,1,5,5,2,5,1,1,3,7,4,6,1,5,7,5,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"207",51
"70772",4,5,5,4,5,5,5,2,4,4,5,4,5,5,5,5,5,5,4,1,5,2,3,3,7,5,5,4,6,6,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,"112",87
"70773",5,4,2,1,2,1,3,3,1,2,5,3,2,4,2,1,2,5,5,2,3,6,6,5,6,2,5,5,5,5,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"196",55
"70774",2,3,3,2,1,2,3,3,1,2,4,2,1,2,4,3,2,3,4,2,5,4,3,2,6,3,7,3,3,6,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,"104",49
"70775",5,5,5,3,5,5,5,5,3,4,5,5,2,5,5,4,5,5,5,2,6,2,6,7,7,3,4,5,7,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"168",88
"70776",2,5,1,2,3,3,2,3,1,3,5,2,1,4,5,3,3,2,5,4,4,4,7,3,6,2,4,7,6,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,"308",59
"70777",4,2,4,4,5,3,5,2,2,2,5,2,4,3,4,5,5,5,5,4,5,3,6,2,7,3,5,2,4,7,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"102",75
"70778",2,4,2,2,3,2,3,2,1,2,4,3,2,2,4,2,4,4,4,2,5,6,6,5,6,3,5,5,6,4,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,"92",54
"70779",2,2,2,1,1,1,1,1,1,1,5,1,1,2,3,4,2,4,1,1,2,1,2,1,4,3,6,7,1,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"141",37
"70780",3,4,3,3,3,5,5,4,5,5,5,4,2,5,4,5,1,4,5,4,2,3,5,7,7,3,6,7,3,4,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,"293",79
"70781",4,4,5,3,4,3,4,5,1,4,5,5,5,5,5,5,5,4,5,3,2,3,6,5,6,1,6,1,5,6,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,"140",84
"70782",2,4,4,3,5,5,5,5,2,3,4,5,4,3,3,5,4,5,4,2,3,3,6,2,6,3,2,7,3,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,"136",77
"70783",1,2,1,3,3,2,2,2,1,2,5,4,1,3,1,4,4,2,5,1,2,5,5,6,6,1,6,5,6,4,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,"139",49
"70784",1,2,1,1,2,1,4,1,1,1,5,4,1,4,4,4,5,4,5,3,6,3,4,2,7,5,7,7,3,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"227",54
"70785",1,1,2,1,1,2,4,1,1,2,3,1,1,3,1,4,4,1,4,1,5,7,7,7,7,1,6,7,7,6,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,"111",39
"70786",4,1,1,2,1,2,4,1,1,2,4,1,1,4,1,2,2,3,5,1,1,7,6,6,5,2,5,6,6,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"233",43
"70787",1,1,1,2,5,1,1,1,1,3,5,5,2,4,1,1,2,4,5,1,1,2,4,1,1,1,6,1,1,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,"158",47
"70788",5,5,4,5,5,5,5,3,4,5,5,5,5,4,4,5,5,4,5,3,1,1,6,7,5,2,2,3,7,6,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,"135",91
"70789",1,1,5,1,3,1,2,1,1,4,5,1,4,5,2,5,1,2,1,1,6,2,7,5,5,6,3,7,7,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"221",47
"70790",1,3,5,1,1,4,5,4,1,4,5,1,2,5,5,4,1,2,4,1,3,2,5,2,6,6,5,3,2,7,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,"168",59
"70791",5,5,1,5,4,5,5,5,3,4,5,4,4,4,5,5,4,4,5,4,2,3,3,3,5,1,5,2,2,4,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,"248",86
"70792",2,4,2,2,4,4,4,2,2,2,5,4,4,5,4,4,5,2,5,1,3,6,6,5,5,3,6,2,5,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,"84",67
"70793",3,5,2,3,3,3,5,2,2,1,5,1,1,2,4,3,3,3,5,2,6,3,3,4,6,6,5,6,6,5,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,"270",58
"70794",3,4,3,3,4,4,5,2,4,4,4,5,4,4,4,4,4,3,4,2,2,3,4,2,5,1,3,3,3,6,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,"148",74
"70795",5,5,4,1,5,2,4,5,3,4,5,5,4,5,5,4,5,5,5,2,6,2,6,3,6,4,5,3,6,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,"130",83
"70796",2,4,1,4,1,2,5,2,3,2,3,3,1,5,3,4,5,3,3,2,4,1,3,3,7,3,2,2,6,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,"5973",58
"70797",4,4,4,2,5,5,5,2,1,2,5,5,3,4,4,4,4,4,5,2,2,1,6,3,6,2,6,2,3,6,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,"158",74
"70798",4,5,1,5,3,1,5,5,1,1,5,1,1,3,2,3,5,3,1,1,4,4,4,1,3,3,7,7,4,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,"204",56
"70799",4,4,4,2,2,4,4,2,2,4,5,4,4,4,2,5,4,4,5,1,3,7,5,7,6,3,5,7,6,5,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,"132",70
"70800",2,4,4,2,2,4,4,4,2,3,3,2,1,3,5,4,2,4,5,1,6,3,6,3,5,5,6,5,5,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"96",61
"70801",4,4,2,2,4,3,3,1,1,2,3,5,2,2,3,4,3,5,4,3,1,5,5,2,6,2,7,7,3,6,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,"223",60
"70802",5,1,1,2,5,2,2,2,1,1,4,5,4,5,3,5,5,1,5,1,3,5,6,1,2,3,7,5,3,6,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,"162",60
"70803",2,3,2,2,2,2,2,2,1,2,4,2,2,4,4,1,2,2,2,1,5,5,7,2,6,5,5,7,5,6,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,"2052",44
"70804",1,2,3,3,1,2,4,1,1,1,3,2,1,4,3,4,4,2,5,1,7,7,5,6,7,7,6,5,4,7,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"220",48
"70805",4,4,5,2,5,1,5,5,3,5,5,5,4,5,5,4,5,2,5,5,5,5,3,7,7,6,6,3,5,5,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,"106",84
"70806",2,2,2,2,2,5,1,1,1,3,3,5,1,2,5,5,5,4,3,1,4,6,7,3,7,2,4,7,6,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"206",55
"70807",1,2,3,2,2,4,4,2,1,4,3,1,3,2,4,2,3,4,5,1,5,3,5,2,7,5,6,7,4,7,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"151",53
"70808",5,1,1,5,5,1,1,5,1,1,5,5,5,5,5,5,5,5,5,4,7,7,7,6,4,7,1,7,1,6,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,"157",75
"70809",5,4,4,5,5,4,1,4,4,4,5,5,2,5,5,5,1,4,5,2,3,1,7,6,7,3,3,6,6,6,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,"831",79
"70810",5,3,1,5,5,5,5,5,1,4,5,5,5,5,3,2,5,3,5,2,1,7,4,7,6,1,5,2,7,7,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,"95",79
"70811",1,1,2,4,3,3,4,1,1,5,5,2,1,4,1,2,1,2,5,1,1,7,1,6,1,6,1,7,1,7,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,"1054",49
"70812",3,5,4,5,4,3,4,3,2,2,5,5,2,5,5,5,5,4,5,1,6,3,6,3,6,6,5,5,3,6,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,"685",77
"70813",5,5,1,5,5,4,3,5,2,5,4,4,5,5,4,3,5,3,5,4,5,5,6,5,6,3,5,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25891",82
"70814",4,2,4,5,5,3,3,5,2,3,4,5,2,4,3,4,3,2,2,2,5,1,1,2,7,6,4,2,3,7,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,"655",67
"70815",5,3,1,3,3,5,4,5,1,1,3,5,1,3,4,1,5,5,1,3,1,4,6,3,2,5,6,2,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,"662",62
"70816",5,5,4,5,4,4,4,1,3,5,5,2,4,4,3,4,4,4,5,5,3,3,2,5,5,5,6,5,4,7,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,"173",80
"70817",1,2,2,1,1,2,1,2,1,2,3,4,1,2,5,4,5,1,1,1,1,3,6,7,7,1,7,3,7,7,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,"458",42
"70818",5,5,5,4,5,5,5,5,2,5,5,5,4,4,5,5,5,5,2,5,1,2,6,6,5,1,1,5,7,6,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,"142",91
"70819",5,3,5,5,5,5,5,2,4,5,5,5,4,5,4,5,5,5,5,3,5,2,7,4,7,3,3,6,7,6,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,"1093",90
"70820",4,5,5,5,5,2,4,2,1,1,5,5,4,5,2,5,5,1,5,5,5,2,3,5,3,3,6,6,4,6,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,"367",76
"70821",5,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,2,7,3,1,6,3,7,1,1,7,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"111",88
"70822",2,3,3,3,2,4,5,2,4,2,4,4,1,4,4,5,4,3,5,3,5,3,2,5,6,6,5,4,6,3,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,"127",67
"70823",4,1,4,2,5,2,2,2,1,2,3,4,1,2,4,3,3,5,5,1,5,2,6,2,5,1,5,6,6,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,"253",56
"70824",3,3,3,3,3,3,2,5,2,2,3,5,4,5,4,3,3,3,5,5,3,6,5,3,2,2,6,6,3,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,"440",69
"70825",2,1,2,2,2,2,2,1,1,1,5,2,3,2,3,2,1,2,5,1,5,1,5,3,6,3,5,6,6,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,"119",42
"70826",1,4,1,1,1,5,4,1,1,1,1,2,1,5,1,1,3,1,5,5,5,6,6,4,5,3,6,7,6,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"254",45
"70827",4,2,1,5,5,2,1,5,1,1,3,4,5,4,4,3,5,4,5,1,5,2,7,2,6,3,7,4,2,7,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"371",65
"70828",1,4,2,1,1,2,2,1,1,2,4,1,1,4,2,2,1,2,1,1,6,3,4,6,5,5,5,6,6,5,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,"195",36
"70829",3,5,5,3,1,3,5,3,2,5,5,5,1,5,2,3,5,3,1,3,4,4,6,5,6,3,5,3,5,4,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,"354",68
"70830",5,4,2,1,1,2,5,1,1,1,5,1,1,5,3,4,1,1,5,1,5,7,6,5,7,2,6,7,6,7,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,"223",50
"70831",1,1,1,1,1,1,1,2,1,1,4,4,1,3,1,1,4,1,5,1,5,6,5,3,6,1,7,5,6,7,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,"141",36
"70832",3,3,1,1,4,2,1,3,1,2,3,2,4,1,3,2,3,3,4,1,2,6,6,6,6,1,6,5,6,6,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,"589",47
"70833",5,2,3,5,5,5,5,5,5,1,5,5,4,5,5,2,1,2,4,1,7,2,7,6,7,6,6,7,6,7,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,"135",75
"70834",3,4,3,2,5,3,3,4,2,2,4,4,2,3,3,3,2,3,5,4,2,5,6,7,6,3,5,6,7,6,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,"205",64
"70835",1,4,1,5,2,5,4,5,1,1,5,5,3,5,1,5,5,5,5,1,1,5,7,5,7,2,4,7,7,7,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,"143",69
"70836",4,3,3,4,5,4,4,3,3,3,5,5,2,3,4,2,4,3,5,3,3,3,4,1,5,2,5,3,1,5,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,"136",72
"70837",4,5,2,3,3,1,4,2,1,2,3,5,1,2,4,4,3,3,4,2,5,2,6,3,6,5,6,6,2,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"218",58
"70838",5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,7,4,5,7,3,7,1,5,6,6,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,"174",94
"70839",4,3,4,3,4,5,5,5,5,5,5,4,4,5,3,5,5,5,5,2,1,3,4,1,5,2,6,1,3,6,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,"488",86
"70840",3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,7,4,7,7,7,4,7,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"35",61
"70841",2,4,1,2,4,1,2,2,1,1,5,1,1,4,3,4,3,4,5,1,1,7,7,2,5,2,5,5,2,7,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"200",51
"70842",2,4,4,2,4,2,4,5,1,4,5,4,4,5,4,4,2,5,5,5,6,4,5,5,6,2,5,3,5,5,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,"242",75
"70843",4,2,4,5,4,5,5,5,3,4,5,4,4,5,2,5,5,4,3,4,4,2,7,6,5,5,5,3,7,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"437",82
"70844",4,3,3,4,4,5,5,4,3,4,5,5,4,3,4,5,5,4,5,4,3,6,5,3,6,2,7,2,5,5,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,"139",83
"70845",1,1,1,2,4,1,1,1,4,1,3,3,4,4,3,1,3,4,2,1,6,4,7,6,6,6,7,3,7,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,"206",45
"70846",4,3,4,5,5,5,4,4,3,3,5,5,3,5,3,5,4,5,5,1,5,1,5,1,7,6,5,1,2,6,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,"142",81
"70847",5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,1,4,5,5,3,6,2,5,7,7,3,1,2,7,7,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,"93",90
"70848",1,5,5,5,1,5,5,5,1,2,5,5,5,5,5,5,5,5,5,1,6,1,1,1,7,1,5,1,1,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,"137",81
"70849",5,1,2,5,5,2,4,5,1,3,4,5,2,2,4,2,2,3,5,3,1,3,7,3,3,4,5,7,7,7,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,"299",65
"70850",1,4,2,3,4,1,1,4,1,4,5,1,5,3,1,1,4,3,1,1,3,7,5,3,5,3,7,6,6,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"241",50
"70851",4,1,1,4,4,5,5,2,1,1,5,5,5,3,1,5,5,5,5,2,1,1,6,6,4,1,4,4,6,6,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,"158",69
"70852",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,6,3,7,6,7,3,1,6,7,6,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,"120",96
"70853",5,3,4,5,5,4,3,4,3,2,5,5,4,5,3,5,5,4,5,3,3,3,3,2,6,2,6,4,3,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"923",82
"70854",5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,3,5,5,5,2,5,3,6,7,7,6,3,5,7,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"144",91
"70855",1,2,3,5,2,3,4,1,2,3,5,1,1,4,1,5,3,2,5,1,2,1,5,2,4,1,4,3,6,6,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,"160",54
"70856",5,5,4,3,5,5,5,5,4,5,4,5,4,5,5,5,5,4,5,3,6,4,6,7,6,4,2,7,7,6,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,"189",91
"70857",5,3,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,5,5,3,2,2,3,3,7,1,3,5,6,5,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,"351",91
"70858",5,5,4,5,5,5,5,5,3,1,5,5,5,5,5,5,1,5,5,5,7,7,5,3,7,7,7,1,1,7,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,"140",89
"70859",2,2,3,4,4,3,3,3,1,2,5,1,4,4,4,2,4,2,5,3,3,5,2,1,6,2,6,3,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,"1041",61
"70860",4,5,4,4,4,3,5,4,4,5,5,5,5,4,5,3,3,4,2,5,1,2,6,3,6,1,3,4,7,5,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,"93",83
"70861",2,2,1,5,2,5,5,4,2,1,5,5,3,4,4,5,3,4,5,2,3,4,2,1,4,2,5,3,2,7,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"116",69
"70862",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,6,7,7,4,5,6,7,7,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,"111",100
"70863",2,4,4,2,1,4,4,4,4,4,5,1,4,4,4,4,3,5,5,1,6,6,2,3,7,3,6,6,5,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"136",69
"70864",1,1,3,1,1,2,4,1,1,1,2,1,1,1,4,1,4,1,5,1,6,5,7,7,6,3,7,3,7,6,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,"136",37
"70865",1,1,5,5,5,5,5,1,1,5,5,5,5,5,1,1,5,5,1,1,3,6,5,7,3,3,5,2,6,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,"129",68
"70866",4,5,3,4,5,3,5,5,3,3,5,3,4,5,5,5,5,5,5,4,6,4,6,6,6,6,7,7,5,7,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"354",86
"70867",5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,2,2,5,6,7,3,5,6,7,7,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,"128",95
"70868",5,4,3,5,5,4,4,5,1,4,5,5,4,5,4,4,4,4,5,5,2,2,7,6,7,1,5,5,7,4,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,"142",85
"70869",4,5,4,5,4,5,5,3,5,1,5,5,5,5,5,1,5,5,5,4,7,6,6,7,5,5,4,6,7,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"229",86
"70870",2,4,2,5,4,4,4,1,2,4,5,1,2,5,4,1,5,2,5,1,1,6,6,6,5,1,6,7,7,7,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,"222",63
"70871",2,5,1,3,5,1,4,1,1,3,5,1,1,5,1,1,2,5,5,3,2,3,6,6,6,6,7,2,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"667",55
"70872",2,4,1,2,4,1,4,2,1,2,5,5,2,2,3,1,1,4,4,2,3,3,6,7,7,2,6,3,7,6,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,"280",52
"70873",4,4,5,4,4,4,5,4,2,2,4,5,4,4,4,2,1,4,5,3,1,5,5,1,5,1,6,5,2,2,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,"95",74
